No.;Time;Source;Destination;Protocol;Length;Info
3969;59.830491;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
3970;59.830491;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
3971;59.830491;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
3972;59.831027;192.168.43.84;140.213.63.45;QUIC;75;Protected Payload (KP0), DCID=606bbabd032298ca
3973;59.831582;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
3974;59.832402;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
3975;59.832402;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
3976;59.832402;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
3977;59.832402;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
3978;59.832795;192.168.43.84;140.213.63.45;QUIC;75;Protected Payload (KP0), DCID=606bbabd032298ca
3979;59.832882;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
3980;59.833409;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
3981;59.833409;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
3982;59.834837;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
3983;59.835526;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
3984;59.836308;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
3985;59.836902;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
3986;59.836902;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
3987;59.836902;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
3988;59.836902;140.213.63.45;192.168.43.84;QUIC;1292;Protected Payload (KP0)
3989;59.836902;140.213.63.45;192.168.43.84;QUIC;993;Protected Payload (KP0)
3990;59.8374;192.168.43.84;140.213.63.45;QUIC;75;Protected Payload (KP0), DCID=606bbabd032298ca
3991;59.852287;192.168.43.84;140.213.63.45;QUIC;76;Protected Payload (KP0), DCID=606bbabd032298ca
3992;59.859018;140.213.63.45;192.168.43.84;QUIC;68;Protected Payload (KP0)
3993;59.913062;192.168.43.84;112.215.207.44;UDP;840;60544  >  443 Len=798
3994;59.991469;112.215.207.44;192.168.43.84;UDP;71;443  >  60544 Len=29
3995;59.991618;112.215.207.44;192.168.43.84;UDP;164;443  >  60544 Len=122
