No.;Time;Source;Destination;Protocol;Length;Info
4319;60.222692;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4320;60.222786;192.168.43.84;112.215.207.44;UDP;75;60544  >  443 Len=33
4321;60.223441;192.168.43.84;112.215.207.44;UDP;75;60544  >  443 Len=33
4322;60.230491;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4323;60.23168;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4324;60.23168;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4325;60.23168;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4326;60.23168;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4327;60.23168;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4328;60.23168;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4329;60.239864;192.168.43.84;112.215.207.44;UDP;75;60544  >  443 Len=33
4330;60.247957;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4331;60.248181;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4332;60.248181;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4333;60.248181;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4334;60.248181;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4335;60.248181;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4336;60.248361;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4337;60.248441;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4338;60.248557;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4339;60.248557;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4340;60.248738;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4341;60.248738;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4342;60.248738;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4343;60.248738;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4344;60.248872;192.168.43.84;112.215.207.44;UDP;75;60544  >  443 Len=33
4345;60.249014;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4346;60.249014;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4347;60.249014;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4348;60.249014;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4349;60.249014;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4350;60.249014;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4351;60.249014;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4352;60.249014;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4353;60.249014;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4354;60.249014;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4355;60.249014;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4356;60.249014;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4357;60.249014;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4358;60.249014;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4359;60.249287;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4360;60.249287;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4361;60.249287;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4362;60.249287;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4363;60.249287;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4364;60.249287;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4365;60.249439;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4366;60.249439;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4367;60.249439;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
